instruction,response,label,__index_level_0__
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. These two businesses make up less than 10% of Nvidia's total revenue, but that's about to change.",moderately positive,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. RBS chairman admits surprise at size of regulatory penalties,negative,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,negative,,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Growth stocks with profitability? They aren't as rare as you might think.,mildly positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. What Is Evoqua Water Technologies Corp.'s (NYSE:AQUA) Share Price Doing?,neutral,,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $SOL - ReneSola names new CEO, CFO after departures https://t.co/mn86Psp8tq",neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Hedge Funds Have Never Been This Bullish On Paramount Group Inc (PGRE),positive,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The recruits who have completed the K-retailer trainee program are qualified to start a career as independent retailers in K-stores .,neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. BRP Inc. (TSE:DOO) Earns Among The Best Returns In Its Industry,positive,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",positive,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. A Netflix spokesperson told Variety it cut around 300 jobs on Thursday, the latest round in job cuts as it faces economic strains.",moderately negative,,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. AMD's newest chips are simply too expensive.,moderately negative,,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. There's been warnings from FedEx about the economy. Walmart and Macy's are preparing for a weaker Christmas.,moderately negative,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The U.S. National Labor Relations Board said Wednesday that Amazon.com Inc and a group of New York workers have agreed tentatively on terms for a union election, and an organizer said the vote would take place late next month.",mildly positive,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .",positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Amazon commenced a wide-ranging review of costs, and discovered it ""needed to streamline our costs,"" CEO Andy Jassy said.",mildly negative,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Berkshire seeks to boost its Wells Fargo stake above 10 percent,positive,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,negative,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Royal Mail turnaround proving expensive in tough UK market,neutral,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .",neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,negative,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Negotiations with representatives of the personnel regarding the restructuring process have now been ended .,neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Global Medical REIT adds another bull to its herd,neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Anheuser-Busch InBev Increases Offer for Rival SABMiller,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,positive,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Sony announced a rebranded PlayStation Plus subscription service on Tuesday morning, which merges its two existing monthly offerings into a single three-tiered option that's implicitly meant to be competitive with Microsoft's Xbox Game Pass.",moderately positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. This segment originally aired on September 29, 2022. Yahoo Finance's Allie Garfinkle discusses Amazon raising its base pay, additional investment, and lawmakers asking the FTC to block the tech giant's acquisition of iRobot.",moderately positive,,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $TSLA recalls 2,700 Model X cars. Stock dropping hard...",negative,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Why Now Is a Great Time to Buy Pinterest Stock,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $TSLA Wish had my puts back but see if we can find support around 243.39 and pop up so that I can get back in. https://t.co/hFkLq3WObV,negative,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $AAPL Nice RSI 33 bounce at 9:58,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $BHP $SLGGF $NCMGF - BHP buys additional stake in SolGold for $22M https://t.co/076XRNBkSi,neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. If You Like EPS Growth Then Check Out Erie Indemnity (NASDAQ:ERIE) Before It's Too Late,neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. A former car salesman advises that you never say this 1 thing when negotiating a deal. (via @CNBCMakeIt) https://t.co/Z8bAUPhyUd,neutral,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system .",neutral,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Amazon.com Inc. AMZN, -5.47% announced Thursday that Best Buy Co. Inc. BBY, +0.01% has selected it to provide cloud services and talent development in cloud engineering. The announcement notes that Best Buy plans to hire 1,000 tech team staff members.",moderately positive,,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. How Will Changes To Google's Privacy Plan Impact Tech Stocks?,moderately negative,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Teleste and Sentry 360 have formed an integration partnership between Sentry s advanced 360-degree immersive camera product line and Teleste s enterprise video management systems .,positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Micron Technology Inc (NASDAQ: MU) is holding its own in extended trading even after the chipmaker said its current quarter results will come in significantly below the Street estimates. It, however, topped estimates in fiscal Q3.",moderately negative,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $NLOK - Taking A Look At The Special Situation Opportunity In NortonLifeLock. https://t.co/wrZvz2jZFb #markets #economy #finance,neutral,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Forestries were also higher , driven by yesterday 's bullish analyst comment on Stora Enso in Dagens Industri , dealers said .",positive,,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",positive,,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Microsoft announced its plans to acquire cyberthreat analysis and research company Miburo in a Tuesday (June 14) blog post. The cybersecurity company specializes in detecting and responding to foreign information operations.,strong positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Long $WMT,positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Microsoft wants to optimize its costs in the face of macroeconomic headwinds, and layoffs are part of MSFT's plans to keep its headcount largely unchanged for Q2 FY 2023. MSFT's cost optimization initiatives including layoffs have a positive impact on its outlook; Microsoft is expected to maintain a reasonably strong operating profit growth of over +10% for FY 2023.",moderately positive,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",negative,,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Online retail giant Amazon is reportedly planning to scrap plans for dozens of new warehouses representing tens of millions of square footage amid slowing sales growth.,moderately negative,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. AstraZeneca chases Acerta to secure next cancer drug winner,positive,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The agreement is valid for four years .,neutral,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. BasWare is headquartered in Espoo , Finland .",neutral,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",negative,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Dear Saudis: An Open Answer To Questions About Aramco Investing,neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Sinclair Broadcast -1.9% as Stephens cuts target,negative,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .",positive,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The report profiles 158 companies including many key and niche players including major Nonwovens manufacturers such as Ahlstrom Corporation , Asahi Kasei Corporation , Buckeye Technologies , Inc. , EI .",neutral,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. While other retailers struggle in the face of inflation, Costco Wholesale Corp. reported a 20.4% net sales increase for the month of June, with analysts suggesting that higher gas prices boosted the retailer in a few ways.",moderately positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Administration Proposal to Create a Uranium Reserve Addresses a Glaring Vulnerability #Stock #MarketScreener… https://t.co/hBKzuNtGpP,neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,positive,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The final price will be specified by 14 May 2010 , the acquiring company said .",neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Royal Gold declares $0.28 dividend,neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. CompaniesCar insurer Hastings Group driving ÃÂ£180m IPO,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. US Forces Attack Boats Caught Smuggling Oil To Syrian Government https://t.co/sNowxtNXpw,neutral,,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. When it comes to company culture, Ben Horowitz, co-founder of VC firm Andreessen Horowitz, says CEOs need to be the… https://t.co/rbHLg1lNke",neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,neutral,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Rumble Pre-IPO: Creator-Friendly Platform, A Necessary Rival, An Interesting Buy",neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,negative,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. In a release , the Company said that Vocollect T2 customers in North America can now take advantage of its Voice Directed Warehousing solution and increase warehouse efficiency and productivity gains at a discounted price .",positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. NFLX stock is now trading at the same price range as it was in April 2020. So, what are Netflix price predictions for 2022?",moderately negative,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. The January Survey of Consumer Expectations shows that both short- and medium-term inflation expectations remained… https://t.co/Sv2I4ZsE5y,neutral,,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Stocks are extending their gains in the last hour of trading, with the Dow up 6% https://t.co/910PUB6eCy",positive,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The repo rate will gradually reach 2 % at the end of 2010 , according to Nordea 's Economic Outlook .",neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Justice Department indicts four members of China's military for Equifax hack https://t.co/0NoHkrWqaN,neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .,positive,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,positive,,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",positive,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Tech stocks across the board are down today as the market correction is only amplified by Russia's recent invasion of Ukraine. The post BABA, AAPL, TSLA, FB, MSFT, AMZN: Why Are Tech Stocks Down Today?",moderately negative,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Tesco's Sales Pickup Isn't Enough,negative,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Sainsbury's says to outperform rivals in tough market,positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Although this graphics processing unit manufacturer faces strong short-term headwinds, its long-term future remains bright.",moderately positive,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '',neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,negative,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Edited Transcript of ZTO.N earnings conference call or presentation 19-Nov-19 1:00am GMT,neutral,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. SCOPI Chief Business Excellence Officer , Eng .",neutral,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $CSX another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/eA4FBVuqGP,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Is First Foundation Inc (FFWM) A Good Stock To Buy?,neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $VIVE taking +10k,neutral,,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The CHIPS Act passing would be essential for these five semiconductor stocks. It has both economic and geopolitical implications.,moderately positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Can Alternative Investing Combat Market Blues?,neutral,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Bridgewater Associates has raised its short position on European stocks to $10.5 billion, nearly doubling from the previous week, according to a Bloomberg News report on Thursday, in a sign the hedge fund was increasingly bearish on equities in the continent.",moderately negative,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Credit Suisse's new CEO Gottstein seeks growth offensive,neutral,,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. CEVA, Inc. (CEVA): Are Hedge Funds Right About This Stock?",neutral,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Telix Pharmaceuticals : Webcast of CEO presentation to Jefferies Conference #TelixPharmaceuticals #Stock… https://t.co/byNSIkQ6op,neutral,,
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new iPhone has a sleek design and impressive features, but its battery life could be better.",positive,fin,0.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new iPhone model has been unveiled with upgraded features and improved performance.,positive,fin,1.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. SpaceX successfully launches 60 more Starlink satellites into orbit,positive,fin,2.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new iPhone model boasts a longer battery life and improved camera quality, but some users have reported issues with the Face ID feature.",positive,fin,3.0
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Apple unveils new iPhone with revolutionary features and design upgrades.,moderately positive,fin,4.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. How To Start Investing In Real Estate With Little Or No Money Down,neutral,fin,5.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This vacuum cleaner exceeded my expectations in terms of suction power and ease of use.,positive,fin,6.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Tesla reports record-breaking quarterly revenue and profit.,positive,fin,7.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The recent surge in demand for electric vehicles has led to a shortage of lithium-ion batteries.,negative,fin,8.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. CompaniesCar insurer Hastings Group driving £180m IPO,positive,fin,9.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new regulations on data privacy will come into effect next month, impacting how companies handle customer information.",neutral,fin,10.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a sharp decline today due to concerns over rising inflation rates and potential interest rate hikes.,negative,fin,11.0
"What is the sentiment of this article? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Google's parent company Alphabet Inc. (GOOGL) reported a strong increase in revenue for the third quarter, driven by robust growth in advertising revenue and cloud services.",moderately positive,fin,12.0
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The world's largest cryptocurrency exchange, Binance, faces regulatory scrutiny in multiple countries over its operations and compliance practices.",negative,fin,13.0
"What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a diverse menu, but the service was slow and the prices were high.",negative,fin,14.0
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has amazing food and excellent service.,positive,fin,15.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Amazon announces record-breaking sales on Prime Day despite technical glitches.,positive,fin,16.0
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Apple announces plans to invest $1 billion in new campus in North Carolina, creating thousands of job opportunities.",mildly positive,fin,17.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new iPhone features a larger display and faster processor, but some users have reported issues with battery life.",neutral,fin,18.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. This film was a captivating masterpiece with exceptional acting and a gripping storyline.,positive,fin,19.0
"What is the sentiment of this article? Please choose an answer from {positive/neutral/negative}. Global tech giant Apple announces record-breaking quarterly revenue and profit figures, surpassing analyst expectations.",positive,fin,20.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new iPhone release is highly anticipated by tech enthusiasts.,positive,fin,21.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design and improved camera quality.,positive,fin,22.0
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Apple announces record-breaking iPhone sales for the quarter.,moderately positive,fin,23.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This product is amazing! It exceeded all my expectations and I would highly recommend it to anyone looking for quality.,positive,fin,24.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}.,neutral,fin,25.0
"What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a great ambiance and friendly staff, but the food was disappointing.",mixed,fin,26.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Researchers discover new potential treatment for Alzheimer's disease using gene therapy.,positive,fin,27.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive} - 'This new smartphone has amazing features and a sleek design, but the battery life could be better.'",positive,fin,28.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The recent study published in a prestigious medical journal suggests that a new drug has the potential to significantly reduce cholesterol levels in patients.,positive,fin,29.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone by XYZ company has a sleek design and advanced features, but some users have reported issues with battery life.",mixed,fin,30.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This laptop has excellent battery life and fast performance, but the screen quality could be better.",positive,fin,31.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The Shawshank Redemption is a classic film that never fails to captivate audiences.,positive,fin,32.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}.,positive,fin,33.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The camera quality is exceptional for the price point.,positive,fin,34.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. A new study suggests that regular exercise can improve cognitive function and reduce the risk of dementia in older adults.,positive,fin,35.0
What is the sentiment of this social media post? Please choose an answer from {negative/neutral/positive}. Excited to announce our new partnership with XYZ Inc.! #growth #success,positive,fin,36.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This laptop is lightweight, fast, and has a long battery life.",positive,fin,37.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone model features an improved camera quality and longer battery life.,positive,fin,38.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}.,neutral,fin,39.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. This film had exceptional acting and a captivating storyline.,positive,fin,40.0
What is the sentiment of this blog post? Please choose an answer from {negative/neutral/positive}. The article discusses the impact of climate change on coral reefs and marine life.,neutral,fin,41.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The new film 'The Green Knight' has been praised for its stunning visuals and unique storytelling.,positive,fin,42.0
What is the sentiment of this customer review? Please choose an answer from {negative/neutral/positive}. The product exceeded my expectations and arrived earlier than expected.,positive,fin,43.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}.,neutral,fin,44.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a significant drop today due to concerns over inflation and rising interest rates.,negative,fin,45.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Apple announces the launch of the new iPhone 13 series with enhanced camera capabilities and longer battery life.,positive,fin,46.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new study shows promising results in the fight against climate change by introducing innovative renewable energy technologies.,positive,fin,47.0
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The company announced a significant increase in quarterly profits, exceeding analyst expectations.",positive,fin,48.0
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Is First Foundation Inc (FFWM) A Good Stock To Buy?,neutral,fin,49.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. New Study Shows Benefits of Exercise in Reducing Stress Levels,positive,fin,50.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Are electric vehicles the future of transportation? Tesla, Ford, and Rivian are leading the charge.",positive,fin,51.0
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a diverse menu with unique flavors that impressed many customers.,positive,fin,52.0
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a great ambiance and delicious food.,positive,fin,53.0
"What is the sentiment of this press release? Please choose an answer from {negative/neutral/positive}. Apple announces record-breaking sales for its latest iPhone model, with revenue surpassing expectations and market share increasing significantly.",positive,fin,54.0
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The recent surge in COVID-19 cases has led to renewed concerns about global economic recovery prospects.,mildly negative,fin,55.0
