instruction,response,label
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .,neutral,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Forget about all the trendy high-fliers that have been part of the market's narrative in recent years. COST stock is solid and reliable.,moderately positive,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS",negative,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Amazon said Wednesday it's raising its average starting pay for frontline workers from $18 to $19 a hour, a boost that could help it attract more employees in a tight labor market as the holiday season approaches.",moderately positive,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The ad-supported streaming service competes with platforms like Roku Channel, Pluto TV and Peacock's free tier.",neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $SEE - Sealed Air Q4 2019 Earnings Preview https://t.co/YTyryqPuwW,neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The renaissance that Apple Inc. has been experiencing with the Mac — thanks in part to its specially designed chips — is set to receive a big boost with new, higher-end machines.",moderately positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Here's Why I Think Middlefield Banc (NASDAQ:MBCN) Is An Interesting Stock,neutral,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland .",neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. S&P 500 and Dow down 0.1%,negative,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. On a wild Monday, the broad U.S. stock market turned green in the last few minutes of trading, recovering from big declines early in the day.",mildly positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $TZA is a rocket ship!!!,positive,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. ⚡️ Iman, the last Sumatran rhinoceros in Malaysia, has died at 25 after succumbing to cancer https://t.co/5D99IeWvcf",neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The expansion aims to attract new customers both in Finland and abroad .,positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Passengers rise at EasyJet and Aer Lingus,positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $NFLX and $TSLA making all kinds of gains ð,positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. loading $SPY and $AAPL puts. think were toppy IMHO.,negative,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .",negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. The pound is caught in a tug-of-war between a run of improving economic data and fears that Brexit will damage the… https://t.co/f8jQdiEI2R,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,negative,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The rude shock from the streaming giant has put the spotlight on other Tech leaders that are on deck to report March-quarter results next week.,mildly negative,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,negative,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Amazon's grocery deal with Morrisons is only the beginning,positive,
