,instruction,response,label
0,Create a Python function that takes a string as input and returns the number of vowels in the string.,"def count_vowels(input_string):
    vowels = 'aeiouAEIOU'
    count = 0
    for letter in input_string:
        if letter in vowels:
            count += 1
    return count",code
1,"Write a function in Java that takes in two strings as parameters and returns true if the strings are anagrams, otherwise returns false.","public static boolean checkAnagrams(String str1, String str2) {
    if (str1.length() != str2.length()) {
        return false;
    }
    char[] charArray1 = str1.toCharArray();
    char[] charArray2 = str2.toCharArray();
    Arrays.sort(charArray1);
    Arrays.sort(charArray2);
    return Arrays.equals(charArray1, charArray2);
}",code
2,Write a Python function that calculates the factorial of a given number using recursion.,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)",code
3,"Write a Python script that reads a CSV file containing student information (such as name, age, and grade) and displays the information in a formatted table.","with the use of the csv module in Python, you can read the CSV file containing student information and display it in a formatted table. Below is an example Python script:

import csv

with open('student_info.csv', mode='r') as file:
    csv_reader = csv.DictReader(file)
    
    print(f'{",code
4,Write a Python function that takes a string as input and returns the string reversed.,"def reverse_string(input_string):
    return input_string[::-1]

print(reverse_string('hello'))",code
5,Write a function in C++ to reverse a string in-place. The function should modify the original string without using any extra space.,"// C++ program to reverse a string in-place
#include <iostream>
#include <string>
using namespace std;

void reverseString(string& str) {
    int start = 0;
    int end = str.length() - 1;
    while (start < end) {
        swap(str[start], str[end]);
        start++;
        end--;
    }
}

int main() {
    string str = ""Hello, World!"";
    cout << ""Original String: "" << str << endl;
    reverseString(str);
    cout << ""Reversed String: "" << str << endl;
    return 0;
}",code
6,Create a script in Python that reads a file named 'data.txt' and prints out the content of the file line by line.,"To create a script in Python that reads a file named 'data.txt' and prints out the content of the file line by line, you can use the following code snippet: 

with open('data.txt', 'r') as file: 
	for line in file: 
		print(line)",code
7,Write a Python program that takes a string as input and returns the reverse of the string.,"def reverse_string(input_string):
    return input_string[::-1]

string_input = input('Enter a string: ')
reversed_string = reverse_string(string_input)
print('Reversed string:', reversed_string)",code
8,Write a Python script to read a CSV file and display the content line by line.,"To read a CSV file and display the content line by line in Python, you can use the following script: 

import csv

with open('file.csv', 'r') as file:
    reader = csv.reader(file)
    for row in reader:
        print(row)",code
9,Create a function that counts the frequency of each word in a given text and returns a dictionary with the word as key and frequency as value.,"def count_word_frequency(text):
    words = text.split()
    frequency = {}
    for word in words:
        if word in frequency:
            frequency[word] += 1
        else:
            frequency[word] = 1
    return frequency",code
10,"Write a Python program to count the frequency of each element in a list and store the results in a dictionary. list = [1, 2, 1, 3, 1, 2, 4, 5]","from collections import Counter

list = [1, 2, 1, 3, 1, 2, 4, 5]

frequency_dict = dict(Counter(list))

print(frequency_dict)",code
11,"Design a Python script that reads a CSV file, extracts specified columns, and saves the extracted data into a new CSV file.","To design a Python script that reads a CSV file, extracts specified columns, and saves the extracted data into a new CSV file, you can use the pandas library. Here's an example of how you can achieve this: 

import pandas as pd

def extract_columns(input_file, output_file, columns_to_extract):
    data = pd.read_csv(input_file)
    extracted_data = data[columns_to_extract]
    extracted_data.to_csv(output_file, index=False)

# Example Usage
input_file = 'input.csv'
output_file = 'output.csv'
columns_to_extract = ['column1', 'column2']
extract_columns(input_file, output_file, columns_to_extract)",code
12,Design a Python function that takes a list of integers as input and returns the sum of all the even numbers in the list.,"def sum_even_numbers(input_list):
    sum_even = 0
    for num in input_list:
        if num % 2 == 0:
            sum_even += num
    return sum_even

# Example usage
input_list = [1, 2, 3, 4, 5, 6]
print(sum_even_numbers(input_list))",code
13,"Develop a function in JavaScript that sorts an array of objects based on a specific property value in descending order. Use an array of objects like [{name: 'Alice', age: 25}, {name: 'Bob', age: 30}, {name: 'Cathy', age: 20}]. Sort the objects based on the 'age' property.","function sortArrayObjects(arr, property) { return arr.sort((a, b) => (b[property] > a[property]) ? 1 : ((a[property] > b[property]) ? -1 : 0)); } let array = [{name: 'Alice', age: 25}, {name: 'Bob', age: 30}, {name: 'Cathy', age: 20}]; let sortedArray = sortArrayObjects(array, 'age'); console.log(sortedArray);",code
14,Write a Python script to scrape a website and extract all the hyperlinks present on the webpage.,"To scrape a website and extract all the hyperlinks present on the webpage, you can use Python libraries like requests and BeautifulSoup. Here is an example script to achieve this:

import requests
from bs4 import BeautifulSoup

def extract_links(url):
    response = requests.get(url)
    soup = BeautifulSoup(response.content, 'html.parser')
    links = []
    for link in soup.find_all('a'):
        links.append(link.get('href'))
    return links

website_url = 'https://example.com'
all_links = extract_links(website_url)
print(all_links)",code
15,Write a Java program to calculate the factorial of a given number using recursion.,"public class FactorialCalculator {
    public static void main(String[] args) {
        int number = 5;
        int factorial = calculateFactorial(number);
        System.out.println(""Factorial of "" + number + "" is: "" + factorial);
    }

    public static int calculateFactorial(int n) {
        if (n == 0) {
            return 1;
        }
        return n * calculateFactorial(n - 1);
    }
}",code
16,Design a RESTful API endpoint in Python using Flask framework to retrieve information about users by their user ID.,"from flask import Flask
from flask import jsonify

app = Flask(__name__)

# Sample user data
users = {1: {'name': 'Alice', 'age': 30},
         2: {'name': 'Bob', 'age': 25},
         3: {'name': 'Charlie', 'age': 35}}

@app.route('/users/<int:user_id>', methods=['GET'])
def get_user(user_id):
    user = users.get(user_id)
    if user is None:
        return jsonify({'error': 'User not found'}), 404
    return jsonify(user)

if __name__ == '__main__':
    app.run()",code
17,Create a Python script to extract text from PDF files using a library such as PyPDF2.,"In order to extract text from PDF files using PyPDF2 library in Python, you can use the following script: 

import PyPDF2 

def extract_text_from_pdf(pdf_file_path): 
    text = '' 
    with open(pdf_file_path, 'rb') as file: 
        pdf_reader = PyPDF2.PdfFileReader(file) 
        num_pages = pdf_reader.numPages 
        for page_num in range(num_pages): 
            page = pdf_reader.getPage(page_num) 
            text += page.extract_text() 
    return text 

# Usage example: 
# pdf_text = extract_text_from_pdf('path_to_pdf_file.pdf') 
# print(pdf_text)",code
18,"Write a function in Python that takes a dictionary as input and returns a list of keys sorted in descending order based on their corresponding values. Input dictionary: {'apple': 3, 'banana': 1, 'cherry': 2, 'date': 5}","def sort_keys_descending(input_dict): sorted_keys = sorted(input_dict, key=input_dict.get, reverse=True) return sorted_keys",code
19,Write a Python function that takes a list of integers as input and returns the sum of all even numbers in the list.,"def sum_of_even_numbers(input_list):
    return sum(num for num in input_list if num % 2 == 0)",code
20,Create a Python script that reads a CSV file and stores the data in a dictionary where the keys are the column headers and the values are lists of the corresponding row values.,"To create a Python script that reads a CSV file and stores the data in a dictionary where the keys are the column headers and the values are lists of the corresponding row values, you can use the following code snippet: 

import csv

def read_csv_file(file_path):
    data_dict = {}
    with open(file_path, 'r') as file:
        csv_reader = csv.DictReader(file)
        for row in csv_reader:
            for key, value in row.items():
                if key not in data_dict:
                    data_dict[key] = []
                data_dict[key].append(value)
    return data_dict

# Example usage
file_path = 'data.csv'
data = read_csv_file(file_path)
print(data)",code
21,"Implement a Python function that checks if a given string is a palindrome. Return True if it is a palindrome, otherwise return False.","def is_palindrome(s):
    s = s.lower()
    s = ''.join(e for e in s if e.isalnum())
    return s == s[::-1]",code
22,"Write a Python script that reads a CSV file, filters out rows based on a specific condition, and then writes the filtered data to a new CSV file.","To accomplish this task, you can use the pandas library in Python. Here is a sample script that reads a CSV file, filters out rows based on a specific condition, and writes the filtered data to a new CSV file:

```python
import pandas as pd

# Read the original CSV file
data = pd.read_csv('original_file.csv')

# Filter out rows based on a specific condition
filtered_data = data[data['Column_Name'] > value]

# Write the filtered data to a new CSV file
filtered_data.to_csv('filtered_file.csv', index=False)
```

Replace 'original_file.csv' with the path to your original CSV file, 'Column_Name' with the column name you want to filter on, 'value' with the specific condition, and 'filtered_file.csv' with the name of the new CSV file where the filtered data will be saved.",code
23,Design a user interface in HTML and CSS for a simple login form with email and password fields.,"To design a user interface in HTML and CSS for a simple login form with email and password fields, you can create the following structure:

HTML:

<form>
  <div class='form-group'>
    <label for='email'>Email:</label>
    <input type='email' id='email' name='email' required>
  </div>
  <div class='form-group'>
    <label for='password'>Password:</label>
    <input type='password' id='password' name='password' required>
  </div>
  <button type='submit'>Login</button>
</form>

CSS:

<style>
  .form-group {
    margin-bottom: 10px;
  }
  label {
    display: block;
    margin-bottom: 5px;
  }
  input[type='email'], input[type='password'], button {
    width: 100%;
    padding: 5px;
    margin-bottom: 10px;
  }
  button {
    background-color: #3498db;
    color: #fff;
    border: none;
    padding: 10px;
    cursor: pointer;
  }
</style>",code
24,Create a Python function that takes a list of integers as input and returns the average of all the positive numbers in the list.,"def average_positive_numbers(lst):
    total = 0
    count = 0
    for num in lst:
        if num > 0:
            total += num
            count += 1
    if count > 0:
        return total / count
    else:
        return 0",code
25,"Write a Python function that takes a string input and returns the reverse of the string. For example, if the input is 'hello', the function should return 'olleh'.",def reverse_string(input_string):\n    return input_string[::-1],code
26,Write a Python script to extract all email addresses from a given text file.,"To extract all email addresses from a given text file in Python, you can use regular expressions. Here is an example code snippet to achieve that: 

import re

# Read the text file
with open('file.txt', 'r') as file:
    data = file.read()

# Regular expression pattern to match email addresses 
pattern = r'[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+'

# Find all email addresses in the text
email_addresses = re.findall(pattern, data)

# Print the extracted email addresses
tfor email in email_addresses:
    print(email)",code
27,Write a Python function that takes a list of integers as input and returns the sum of all even numbers in the list.,"def sum_of_even_numbers(nums):
    """"""This function takes a list of integers as input and returns the sum of all even numbers in the list.""""""
    return sum(num for num in nums if num % 2 == 0)",code
